date,prcp
1/1/2010,0.08
1/2/2010,0
1/3/2010,0
1/4/2010,0
1/6/2010,
1/7/2010,0.06
1/8/2010,0
1/9/2010,0
1/10/2010,0
1/11/2010,0.01
1/12/2010,0
1/14/2010,0
1/15/2010,0
1/16/2010,0
1/17/2010,0
1/18/2010,0
1/19/2010,0
1/20/2010,0
1/21/2010,0
1/22/2010,0
1/23/2010,0
1/24/2010,0.01
1/25/2010,0
1/26/2010,0.04
1/27/2010,0.12
1/28/2010,0
1/30/2010,
1/31/2010,0.03
2/1/2010,0.01
2/3/2010,
2/4/2010,0.01
2/5/2010,0
2/6/2010,0
2/7/2010,0
2/8/2010,0
2/9/2010,0
2/11/2010,0
2/12/2010,0.02
2/13/2010,0.01
2/14/2010,0
2/15/2010,0
2/16/2010,0
2/17/2010,0
2/19/2010,
2/20/2010,0.03
2/21/2010,0
2/22/2010,0
2/23/2010,0
2/24/2010,0
2/25/2010,0
2/26/2010,0
2/28/2010,0
3/1/2010,0.01
3/2/2010,0
3/3/2010,0
3/4/2010,0.12
3/5/2010,0.08
3/6/2010,0.03
3/7/2010,0
3/8/2010,0.43
3/9/2010,0.06
3/11/2010,
3/12/2010,0
3/13/2010,0
3/14/2010,0
3/15/2010,0.06
3/17/2010,0
3/18/2010,0
3/21/2010,0
3/22/2010,0
3/23/2010,0
3/24/2010,0
3/26/2010,
3/27/2010,0
3/28/2010,0
3/29/2010,0
3/30/2010,0
3/31/2010,0
4/1/2010,0
4/2/2010,0.01
4/3/2010,0.17
4/4/2010,0.15
4/5/2010,0.27
4/6/2010,0.01
4/8/2010,0
4/9/2010,0.01
4/10/2010,0
4/11/2010,0.01
4/12/2010,0.01
4/13/2010,0
4/15/2010,0
4/16/2010,0.01
4/17/2010,0
4/18/2010,0
4/19/2010,0
4/20/2010,0.04
4/21/2010,0.01
4/22/2010,0
4/23/2010,0.02
4/24/2010,0
4/25/2010,0
4/26/2010,0
4/28/2010,0
4/30/2010,0
5/1/2010,0
5/2/2010,0.03
5/3/2010,0.2
5/4/2010,0.08
5/5/2010,0.01
5/6/2010,0
5/7/2010,0.05
5/8/2010,0
5/9/2010,0
5/10/2010,0
5/11/2010,0
5/13/2010,0
5/14/2010,0
5/15/2010,0
5/16/2010,0.03
5/17/2010,0
5/18/2010,0
5/19/2010,0
5/21/2010,
5/22/2010,0
5/23/2010,0.05
5/24/2010,0
5/25/2010,0
5/26/2010,0.02
5/27/2010,0
5/28/2010,0
5/29/2010,0
5/30/2010,0
5/31/2010,0
6/1/2010,0
6/2/2010,0.01
6/3/2010,0
6/4/2010,0
6/5/2010,0
6/6/2010,0
6/7/2010,0
6/8/2010,0
6/9/2010,0
6/10/2010,0
6/11/2010,0
6/12/2010,0
6/13/2010,0
6/14/2010,0
6/15/2010,0
6/16/2010,0
6/17/2010,0
6/18/2010,0
6/19/2010,0
6/20/2010,0
6/21/2010,0
6/22/2010,0
6/23/2010,0
6/24/2010,0
6/25/2010,0
6/26/2010,0.02
6/27/2010,0
6/28/2010,0
6/29/2010,0
6/30/2010,0
7/1/2010,0.01
7/2/2010,0.05
7/3/2010,0.09
7/4/2010,0.05
7/5/2010,0.06
7/6/2010,0.08
7/7/2010,0.08
7/8/2010,0.03
7/9/2010,0.06
7/10/2010,0.09
7/11/2010,0
7/12/2010,0
